risk,comment
1,역겨운 쓰레기게임 돈 안처바르면 아무것도못함. 사냥도 못함 템도 못얻음ㅋㅋㅋㅋㅋㅋ
1,도박
1,아이템이 사라져는데요39에쿼스터하는데검이손상이왔어수리해는데9싸울이사라져는데요?이거 머죠?
1,가장 완벽한 사행성 빠찡코 게임 게임성은 좋으나 비즈니스 모델이 완벽하게 게임을 재미없게 만듬
1,별점 조작 하지마세요. 적어놯는데 왜 삭제해요?? 공정거래법 위반 아닌가?? 내가 리니지m을 해보고 평가한걸 왜 지운단말이냐??
1,리니지m 100% 즐기는법... 1.NC소프트 게임을 깐다 2.홈페이지 들어가서 댓글을 본다 3.게임 접속을 안하는 것 만으로 월100만원씩 번다 4.100만원으로 부모님 용돈 드리기.사고싶은거사기 먹고싶은거 먹기.가고싶은곳 가기 참고로 여유돈 2억있으시면 nc에서 말했듯이 케릭이 내 자신이다 생각 하시고 쓰십시요 50랩으로 80잡고도 남습니다 대신 그들만의 리그에 가입 된겁니다 1%만 돈쓰고 지들끼리 싸웁니다 어중간히 몇천 가지고는 낄곳도 할것도 없습니다 돈쓰고 현금화 하시겠다는 생각은 접으십시요 아무도 안사고 사도 게스트계정으로 100만원 내외 입니다 리니지1이 예전 유저에 호소 했다면 리니지2m는 외국인 등장 시키코 어린아이 등장 시켰는데 외국인들은 이딴 게잉에 월 3만원도 안씁니다 일본에서도 과금 유도 하려다 실패했지요 유저들이 싫어하는 메크로 왜 안잡을까요 월드보스 들어가보면 메크로가 70%입니다 메크로 다 잡으면 서버 유저가 1/4정도로 확 줄어 듭니다
1,돈을 엄청 써도 또 돈을 써야하는 게임
1,리니지광땜에 택진이형알앗구요 노잼.. 별한개도아쉽다
1,라바섭은 왜 서버이전막아놓는거냐ㅡㅡ 이전풀꺼면 다풀어놓지 어디는풀리고어디는막아놓고 짜증난다
1,과금안하면 발끗도 못미치는 게임 재미는 있다.. 맞는 재미
1,확률은 계속 낮추고 현금 도박템은 99%고 드다나 용옥은 무조건 사야 되고 메크로가 모든 사냥터의 90%는 차지하는데 대놓고 무시하고 중독 이용해서 유저들 빨아먹는 강원랜드 저리가라식 운영 국감요구가 아니라 강제수사를 해야 된다 그리고 운영자들도 진심 양심은 있냐? 그렇게 일하고 월급은 기다려지지? 메크로 답변만 달거면 그냥 보고 꺼져
1,솔직히 이런거 안쓰는데...진짜 엔씨 운영진들 엄빠 팔아드심??옛추억에 하는게임이아냐이건.. 적당히 해먹어야지
1,1점도 아깝다
1,칼삭 바삭 빠삭 ㅋ
1,내가 세상에 직업을 뽑기로 뽑아야 되는 겜은 생전 처음 해본다 ㅋㅋㅋ
1,사행성 별하나도아깝다
1,800만원 현질을 했는데도 하나도 안뜨고 하..인생만 변했네요
1,돈먹는하마
1,헬게임
1,용량이너무커요
1,택진이형 머해요?돈시알리고 있어요 ?
1,개 쓰레기 또옹망겜
1,왜 게속 게임 꺼지나요?? 저 폰 최신이에요;;
1,"확률 도박장 수준 겜 입문 입장료만 100만원 정도 라고 보시면됨. 순수농사나 RPG하라고 만든겜 절때! 아님 입문주의 이미 맛탱이간나간향수로 낚음. 운영&파밍 초 악덕형태. 세상에 아무 생각이 없어 세단에 외제차를 몰며 기름값을 길에뿌리고 돈을 걱정안하는 현실에 감이없는 태평만 할 것. -어이쿠 안습 손이얼굴을 가리는 겜. 두글자 극 히, 혐 오. 돈이많으시면하샘 똥 모바일 이라고 보면됨. 근데 돈을많이벌 수 있는자가 자기시간에 과연 이걸붙잡고있을까. 볼수록노답 안타까운 끝난게임. 작은향수도 주의. 그리고 게임자체개발자는 실제로 블리자드에서 생각가져온다. 것도 개안습 ㅠ"
1,별 한개도 아까움
1,빠찡꼬임
1,"연속출석보상 20일,30일 안줌 처리좀요"
1,타격감이 하나도 없음
1,개세들아 적당히 해처묵어라
1,정부 제재가 반드시 필요한 도박. 게임이 아닙니다.도박이에요 절대 다운받지 마세요
1,유저를 개돼지로 아는 게임 절대 손대선안될 게임 꼭 내가죽기전어 부도나던가 망했으면 하는게임 절대 nc게임 하면안됨 개더럽고 ㅆㄹㄱ 같은게임입니다
1,돈만밣히는 엔시에 진절머리가난다..~~ㅃㅃ
1,개인적으로 그냥 노노노 아무 의미가없음 고로 재미자체가없음
1,뭐람 안드러가지네요
1,미.친.과금유도 이건도박임
1,결전의탑이요 격돌의탑이요 하나만해요
1,말이필요없는 한국 최고의 똥겜
1,쓰레기 도박게임
1,개 J같은게임 하지만 하고있다
1,이런겜 왜함?
1,무과금으로 절대 강해질 생각 조차 단1조차 생각 하지마라라
1,왜 업데이트가 안되나요?? 다운로드대기중 이것만 계속....
1,조 ㅈ
1,아이온 초창기 이후 더이상 없네.. 뭐해보것다고 깔아서 현질햇드니.. 아무것도 안주네.. 뭣같어서 안할래욤... nc 빠욤
