risk,comment
0,아니 전설 하나 줄때 안됐습니까? ㅡㅡ
0,추억
0,최상급 변신이벤트 한번만 더 해주세요 진짜 분하다.
0,난 잼
0,재밋음
0,복귀 유자인데...신성기사로 이전해서 할수있께 패키지 하나 만들어주세요 기간 지나가버려서 이전못해 힘드네요
0,ㅓ우텉ㅌ
0,폭력을 좋아하는 생명체에게 딱 맞는 폭력대신장치 단체로 달려가서 때리는거 보니 개미가 사냥하는거 생각나는데 사실 개미가 사냥하는거 보는게 더 재미있음 개미는 진짜인데 ㅎㅎ 아쉽네요 영상이라서 영상이 진짜가 될려면 어렵겠죠 돈이라는 것에 의미를 부여한다 똑같은 느낌이려나 돈은 자신이 할 수 없는 것을 가능하게 한다고 느껴지게 만들지만 결국 자신이 한것은 1도 없는 흔적이여 돈을 벌고 쓰는것은 영상일뿐
0,좋음
0,추억으로 하는게 꿀잼
0,재밌음 역시 향수게임
0,허걱 ㅏ ㅓ
0,굿
0,최고의 게임
0,영변뜸 ㅅㄱ
0,음......
0,개꿀잼ㅎㅎ
0,돈없음하지마
0,제밌어요
0,좋아요
0,존잼존잼
0,굿
0,고고고고고고고고고고곡고고고고고고고가즈아아아아아아아아아아
0,할만하네요
0,굿
0,재미있음
0,fddd
0,인생의 걸작♡
0,현질안하면 현타오긴하는데 오래 하면 할수록 잼네요
0,굿!@@!!@@
0,돈쓰기 쉽다는걸 느낄수있네요 ㅎ
0,굿
0,좋아요
0,서로간에 거래허용 시켜주세여~~~~ 아데나로도 장비살수있게해주세요 너무..다이아 위주
0,재밋습니다^^
0,좋아요
0,좋아요
0,굿
0,하지마
0,현질 최고의 게임
0,옛날 리니지가 좋은데....
0,굿
0,재밋음 신성기사 임패 멋짐
0,꿀
0,잼남
0,굿
0,이만한게없다
0,좋아요 좋아
0,돈있음잼남
0,요즘 게임도중 끊김현상 때문에 도통 게임을 돌리지도 못해요 매크로인가 쓰는사람들만 재미보는게임인가요? 시간 쪼개서 자사돌리는데 이런 문제조차 해결도 못하는거에요?안하는거에요?
0,ㅋㅋ잼나
0,굿!
0,너무 중독성 강하게 잘만들었어여..카지노랑 마약은 끊을수 있어도 리니지는 못 끊어여..
0,굿굿굿
0,참잘했어요
0,한푼도 안쓰고 이제 79이다 ㅋㅋ
0,리니지m 굿굿 현질그만 하고싶네용ㅜㅜ
0,역시 리니지m 굿굿
0,말이 필요 없는 앱입니다.
0,좋아요
0,굿잼이요
0,굿
0,너무 좋은겜이라 생각 됨니다 항상 발전 돼는 모습에 기쁨이 두배 됨니다 감사 합니다 엔씨 홧 팅~~♡♡
0,리니지는정말 쉽게 끊을수없는 마성의게임 ㅇㅈ
0,아이템 좀 나오길
0,개재밌슴 안해봤지만
0,그냥 말이필요없다
0,굿스ㅋㅋㅋ
0,굿
0,최고의 게임 굿
0,제가보이스피싱당했는데제발환불부탁드려요ㅜ
0,너무잼있어요
0,응아니야
0,Good
0,이만한게없다
0,bd
0,돈...
0,영변 영인 넘 감사합니다 !!!대박 !!!!
0,I'm.5 z
0,영변좀주세요 ... 2년을넘게 섭초부터 햇는데 ㅠㅠ 리니지m 을오래할수잇게운영자님도와주세요!!!!
0,흐흐ㅡ흐
0,다이아를 잘못구매했는데 환불요청은어떻게하나요
0,템 좀 주세요 ! ㅠ
0,돈쓰는거아님 좋아요
0,개잼
